service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
71616.061026.31,1,1,1,1,1,0,0,20261006,20261217
71628.070926.31,1,1,1,1,1,0,0,20260907,20261002
71628.061026.31,1,1,1,1,1,0,0,20261006,20261217
71640.070926.31,1,1,1,1,1,0,0,20260907,20261002
71640.061026.31,1,1,1,1,1,0,0,20261006,20261217
71652.070926.31,1,1,1,1,1,0,0,20260907,20261002
71652.061026.31,1,1,1,1,1,0,0,20261006,20261217
71664.070926.31,1,1,1,1,1,0,0,20260907,20261002
71664.061026.31,1,1,1,1,1,0,0,20261006,20261217
71676.070926.31,1,1,1,1,1,0,0,20260907,20261002
71676.061026.31,1,1,1,1,1,0,0,20261006,20261217
71688.070926.31,1,1,1,1,1,0,0,20260907,20261002
71688.061026.31,1,1,1,1,1,0,0,20261006,20261217
71700.071026.62,0,1,1,1,1,1,0,20261007,20261217
71712.071026.62,0,1,1,1,1,1,0,20261007,20261217
73346.070926.65,1,0,0,0,0,0,1,20260907,20261005
73358.070926.65,1,0,0,0,0,0,1,20260907,20261005
73370.070926.65,1,0,0,0,0,0,1,20260907,20261005
73382.070926.65,1,0,0,0,0,0,1,20260907,20261005
73383.070926.31,1,1,1,1,1,0,0,20260907,20261002
73383.061026.31,1,1,1,1,1,0,0,20261006,20261217
73395.070926.31,1,1,1,1,1,0,0,20260907,20261002
73395.061026.31,1,1,1,1,1,0,0,20261006,20261217
73407.070926.31,1,1,1,1,1,0,0,20260907,20261002
73407.061026.31,1,1,1,1,1,0,0,20261006,20261217
73419.070926.31,1,1,1,1,1,0,0,20260907,20261002
73419.061026.31,1,1,1,1,1,0,0,20261006,20261217
73431.070926.31,1,1,1,1,1,0,0,20260907,20261002
73431.061026.31,1,1,1,1,1,0,0,20261006,20261217
73443.070926.31,1,1,1,1,1,0,0,20260907,20261002
73443.061026.31,1,1,1,1,1,0,0,20261006,20261217
73455.070926.31,1,1,1,1,1,0,0,20260907,20261002
73455.061026.31,1,1,1,1,1,0,0,20261006,20261217
73467.070926.31,1,1,1,1,1,0,0,20260907,20261002
73467.061026.31,1,1,1,1,1,0,0,20261006,20261217
73479.070926.31,1,1,1,1,1,0,0,20260907,20261002
73479.061026.31,1,1,1,1,1,0,0,20261006,20261217
73491.070926.31,1,1,1,1,1,0,0,20260907,20261002
73491.061026.31,1,1,1,1,1,0,0,20261006,20261217
73503.070926.31,1,1,1,1,1,0,0,20260907,20261002
73503.061026.31,1,1,1,1,1,0,0,20261006,20261217
73515.070926.31,1,1,1,1,1,0,0,20260907,20261002
73515.061026.31,1,1,1,1,1,0,0,20261006,20261217
73527.070926.31,1,1,1,1,1,0,0,20260907,20261002
73527.061026.31,1,1,1,1,1,0,0,20261006,20261217
73539.070926.31,1,1,1,1,1,0,0,20260907,20261002
73539.061026.31,1,1,1,1,1,0,0,20261006,20261217
73551.070926.31,1,1,1,1,1,0,0,20260907,20261002
73551.061026.31,1,1,1,1,1,0,0,20261006,20261217
73563.070926.31,1,1,1,1,1,0,0,20260907,20261002
73563.061026.31,1,1,1,1,1,0,0,20261006,20261217
73575.070926.31,1,1,1,1,1,0,0,20260907,20261002
73575.061026.31,1,1,1,1,1,0,0,20261006,20261217
73587.070926.31,1,1,1,1,1,0,0,20260907,20261002
73587.061026.31,1,1,1,1,1,0,0,20261006,20261217
73599.070926.31,1,1,1,1,1,0,0,20260907,20261002
